record_no,target_id,field,source_value,decoded_value,error,passed
1,780abc,lat,31.2304,31.230383212657742,1.6787342257629234e-05,True
1,780abc,lon,121.4737,121.47367035714876,2.964285123141508e-05,True
1,780abc,altitude,9800.0,9800,0.0,True
1,780abc,speed,230.5,230.5,0.0,True
1,780abc,heading,86.0,86.0,0.0,True
1,780abc,vertical_rate,0.0,0.0,0.0,True
2,000001,lat,0.0,2.1457677235048322e-05,2.1457677235048322e-05,True
2,000001,lon,0.0,4.2915354470096645e-05,4.2915354470096645e-05,True
2,000001,altitude,0.0,0,0.0,True
2,000001,speed,0.0,0.0,0.0,True
2,000001,heading,0.0,0.0,0.0,True
2,000001,vertical_rate,0.0,0.0,0.0,True
3,780def,lat,30.2741,30.27410036900052,3.6900052080568457e-07,True
3,780def,lon,120.1551,120.1551390064094,3.9006409394914954e-05,True
3,780def,altitude,7600.0,7600,0.0,True
3,780def,speed,,,,True
3,780def,heading,270.0,270.0,0.0,True
3,780def,vertical_rate,-1.2,-1.1999999999999886,1.1324274851176597e-14,True
